uid,flourishing_pre,flourishing_post,flourishing_delta
u01,45,46,1
u02,46,44,2
u03,34,31,3
u04,27,33,6
u05,48,50,2
u07,49,47,2
u09,46,47,1
u10,39,39,0
u14,52,53,1
u15,43,48,5
u16,42,41,1
u17,37,38,1
u19,42,42,0
u20,45,45,0
u23,35,42,7
u24,41,43,2
u27,31,31,0
u30,52,56,4
u31,16,36,20
u32,54,56,2
u33,31,28,3
u34,49,23,26
u35,48,44,4
u36,46,46,0
u42,45,16,29
u43,47,42,5
u44,48,41,7
u45,48,49,1
u46,42,44,2
u49,51,55,4
u52,34,37,3
u53,50,49,1
u56,46,48,2
u59,43,50,7
